Symbol,Price,Price Time,Status,High Date,High,Low Date,Low,Entry Date,Entry,SL,Target,Distance %,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade,Live Grade,Speed Group,Current State,Opportunity,Opportunity Score V3
RAMRAT.NS,570.0,2026-09-26T19:22:18.543799+05:30,NEAR 0.786,2026-08-28,602.4500122070312,2026-09-16,500.1000061035156,,580.5471109008789,551.2750091552734,629.0610137939453,1.8167536626807368,12.0,5.0,6.0,1.0,11.0,45.45454545454545,2.723725637691538,2.723725637691538,11.833333333333334,9.2,7.0,5.166666666666667,20.0,80.0,80.0,0.2301739975513976,62.94,B,B,FAST,NEAR ENTRY,STRONG NOW,56.48
TI.NS,581.7000122070312,2026-09-26T19:22:18.543799+05:30,OPEN,2026-08-25,594.5499877929688,2026-09-16,500.6499938964844,2026-09-18,574.4553890991211,547.5999908447266,618.9639862060546,1.261128931050914,18.0,8.0,9.0,1.0,17.0,47.05882352941176,2.5551566672340686,2.5551566672340686,10.0,7.0,4.0,6.222222222222222,62.5,75.0,87.5,0.2555156667234068,66.82,A,A,FAST,ENTRY ZONE,STRONG NOW,60.98
GEEKAYWIRE.NS,32.900001525878906,2026-09-26T19:22:18.543799+05:30,OPEN,2025-10-28,36.79999923706055,2026-03-30,18.51000022888184,2026-09-17,32.8859394493103,27.65499973297119,41.55539897918701,0.0427601485743826,14.0,7.0,7.0,0.0,14.0,50.0,1.0888943342230692,1.0888943342230692,4.0,1.8571428571428568,1.0,5.571428571428571,100.0,100.0,100.0,0.2722235835557673,67.2,A,A,FAST,ENTRY ZONE,STRONG NOW,58.65
INDHOTEL.NS,726.7999877929688,2026-09-26T19:22:18.543799+05:30,OPEN,2025-09-22,776.9500122070312,2026-04-02,565.0,2026-06-22,731.5927095947266,670.9750061035156,832.0570153808594,-0.6551079226052957,13.0,7.0,6.0,0.0,13.0,53.84615384615385,2.258680707004369,2.258680707004369,12.923076923076923,18.428571428571427,10.0,6.166666666666667,14.285714285714285,57.14285714285714,71.42857142857143,0.1747788642324809,63.28,B,B,MEDIUM,ENTRY ZONE,STRONG NOW,56.0
MCX.NS,3324.89990234375,2026-09-26T19:22:18.543799+05:30,OPEN,2026-05-21,3480.0,2026-08-05,2565.5,2026-08-24,3284.297,3022.75,3717.77,1.236273770117318,8.0,5.0,3.0,0.0,8.0,62.5,7.338609755258536,7.338609755258536,20.875,27.6,28.0,9.333333333333334,20.0,20.0,40.0,0.3515501679165766,57.97,B,B,SLOW,ENTRY ZONE,STRONG NOW,55.92
63MOONS.NS,857.6500244140625,2026-09-26T19:22:18.543799+05:30,OPEN,2025-11-28,937.6500244140624,2026-03-30,467.0,2026-07-30,836.9309191894531,702.3250122070312,1060.0190307617188,2.475605184317403,7.0,4.0,2.0,1.0,6.0,66.66666666666666,3.222636867450223,3.222636867450223,21.0,9.25,1.0,23.5,75.0,75.0,75.0,0.1534588984500106,73.7,A,B,FAST,ACTIVE,GOOD,63.3
IIFLCAPS.NS,346.70001220703125,2026-09-26T19:22:18.543799+05:30,OPEN,2026-01-28,355.8999938964844,2026-03-30,240.3999938964844,2026-04-21,331.1829938964844,298.1499938964844,385.9299938964844,4.685330646958554,7.0,3.0,3.0,1.0,6.0,50.0,6.813044620772746,6.813044620772746,22.714285714285715,22.666666666666668,7.0,9.333333333333334,33.33333333333333,66.66666666666666,66.66666666666666,0.2999453606629511,68.81,A,B,FAST,ACTIVE,GOOD,60.8
GIPCL.NS,185.83999633789065,2026-09-26T19:22:18.543799+05:30,OPEN,2025-10-23,198.0,2026-03-30,119.9000015258789,2026-08-12,181.2866003265381,158.95000076293945,218.3059996032715,2.511711292037491,9.0,4.0,5.0,0.0,9.0,44.44444444444444,2.683156011402,2.683156011402,13.444444444444445,20.0,10.0,7.6,25.0,50.0,75.0,0.1995735876249421,58.47,B,B,MEDIUM,ACTIVE,GOOD,49.6
JGCHEM.NS,620.0999755859375,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-28,675.0,2026-09-16,544.9500122070312,,647.1693026123047,609.9750061035156,708.8129968261719,4.182727288995572,7.0,5.0,2.0,0.0,7.0,71.42857142857143,6.923176050676571,6.923176050676571,14.285714285714286,9.8,5.0,25.0,60.0,60.0,60.0,0.4846223235473599,79.89,A+,B,FAST,CLOSE,GOOD,70.2
BELRISE.NS,247.9199981689453,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-12,268.20001220703125,2026-09-16,222.75,,258.4737095947266,245.4750061035156,280.0170153808594,4.083088930912528,7.0,5.0,2.0,0.0,7.0,71.42857142857143,3.2974043177482195,3.2974043177482195,7.714285714285714,10.2,5.0,0.0,60.0,60.0,80.0,0.4274413004488432,74.22,A,B,FAST,CLOSE,GOOD,62.78
SHREEPUSHK.NS,506.0499877929688,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-09-08,545.2000122070312,2026-09-24,476.5499877929688,,530.5089069824219,510.875,563.0490185546876,4.610463437565537,10.0,5.0,5.0,0.0,10.0,50.0,1.7172396837352586,1.7172396837352586,12.3,15.8,5.0,8.2,60.0,60.0,60.0,0.1396129824175007,64.18,B,B,FAST,CLOSE,GOOD,55.54
MANKIND.NS,2474.89990234375,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-07-29,2642.0,2026-09-11,2222.0,,2552.12,2432.0,2751.2,3.025723620215738,6.0,3.0,3.0,0.0,6.0,50.0,1.87309351869911,1.87309351869911,11.0,12.666666666666666,4.0,8.666666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0.1702812289726463,64.09,B,B,FAST,CLOSE,GOOD,51.74
ADANIPORTS.NS,1788.0,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-07-03,1891.0999755859373,2026-08-31,1593.0999755859375,,1827.3279755859376,1742.0999755859375,1968.5799755859373,2.152212197885656,13.0,6.0,5.0,2.0,11.0,54.54545454545454,0.6350026156630066,0.6350026156630066,20.923076923076923,9.333333333333334,9.5,18.4,16.666666666666664,66.66666666666666,100.0,0.0303493897191878,61.98,B,B,MEDIUM,CLOSE,GOOD,51.28
SKYGOLD.NS,793.5499877929688,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-26,868.7999877929688,2026-09-21,765.0499877929688,,846.5974877929688,816.9249877929688,895.7749877929688,6.265964731160708,12.0,8.0,4.0,0.0,12.0,66.66666666666666,7.474879064250036,7.474879064250036,11.333333333333334,15.0,3.5,3.5,62.5,75.0,75.0,0.6595481527279443,81.35,A+,A+,FAST,WATCH,GOOD,73.35
SWARAJ.NS,338.6000061035156,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-18,386.75,2026-09-21,260.1000061035156,,359.6469013061524,323.4250030517578,419.67899841308594,5.852099691725244,8.0,5.0,2.0,1.0,7.0,71.42857142857143,7.8716716715265775,7.8716716715265775,10.5,4.4,5.0,0.0,80.0,100.0,100.0,0.7496830163358645,85.37,A+,B,FAST,WATCH,GOOD,72.54
