Symbol,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade
MINDTECK.NS,6,5,0,1,5,100.0,8.81350183439847,8.81350183439847,12.833333333333334,3.0,1.0,,80.0,80.0,100.0,0.6867663767063743,95.0,A+
RATNAVEER.NS,6,5,1,0,6,83.33333333333334,7.226441816077096,7.226441816077096,4.0,4.2,5.0,0.0,80.0,80.0,100.0,1.806610454019274,87.12,A+
GPIL.NS,6,5,1,0,6,83.33333333333334,11.11873645977498,11.11873645977498,13.666666666666666,16.2,2.0,0.0,60.0,60.0,60.0,0.8135660824225595,86.33,A+
SWARAJ.NS,8,5,2,1,7,71.42857142857143,7.8716716715265775,7.8716716715265775,10.5,4.4,5.0,0.0,80.0,100.0,100.0,0.7496830163358645,85.37,A+
TATAINVEST.NS,6,5,1,0,6,83.33333333333334,11.767039181901401,11.767039181901401,5.833333333333333,5.8,9.0,4.0,40.0,80.0,100.0,2.017206716897383,85.33,A+
KAVDEFENCE.NS,8,6,1,1,7,85.71428571428571,10.991861296532457,10.991861296532457,16.0,8.0,8.5,19.0,33.33333333333333,66.66666666666666,100.0,0.6869913310332786,84.95,A+
HFCL.NS,7,6,1,0,7,85.71428571428571,14.769305242861439,14.769305242861439,15.428571428571429,16.666666666666668,10.0,8.0,33.33333333333333,50.0,66.66666666666666,0.9572697842595377,83.29,A+
SUPREMEINF.NS,10,8,2,0,10,80.0,13.585363868216414,13.585363868216414,8.1,9.125,7.0,4.0,37.5,62.5,100.0,1.677205415829187,83.25,A+
VISACHROME.NS,7,5,1,1,6,83.33333333333334,7.935063705315054,7.935063705315054,20.142857142857142,12.0,8.0,21.0,20.0,60.0,80.0,0.3939393328879814,83.23,A+
MAANALU.NS,15,10,5,0,15,66.66666666666666,6.65605153906863,6.65605153906863,6.266666666666667,8.7,2.5,0.4,70.0,80.0,80.0,1.0621358838939303,81.57,A+
SKYGOLD.NS,12,8,4,0,12,66.66666666666666,7.474879064250036,7.474879064250036,11.333333333333334,15.0,3.5,3.5,62.5,75.0,75.0,0.6595481527279443,81.35,A+
BAGFILMS.NS,6,4,2,0,6,66.66666666666666,8.521404548738868,8.521404548738868,7.833333333333333,8.5,5.0,6.5,50.0,75.0,75.0,1.0878388785624087,81.17,A+
INDNIPPON.NS,7,4,1,2,5,80.0,9.23506187883759,9.23506187883759,27.285714285714285,17.25,10.0,0.0,25.0,50.0,75.0,0.3384577651930007,81.0,A+
MUTHOOTFIN.NS,6,4,1,1,5,80.0,4.108529346867669,4.108529346867669,15.0,6.75,2.5,2.0,75.0,75.0,75.0,0.2739019564578446,80.42,A+
JGCHEM.NS,7,5,2,0,7,71.42857142857143,6.923176050676571,6.923176050676571,14.285714285714286,9.8,5.0,25.0,60.0,60.0,60.0,0.48462232354735996,79.89,A+
SONATSOFTW.NS,7,5,2,0,7,71.42857142857143,5.392880961453792,5.392880961453792,5.285714285714286,6.2,1.0,1.5,60.0,80.0,80.0,1.020274776491258,79.5,A+
SIGMA.NS,9,6,3,0,9,66.66666666666666,5.868947653331461,5.868947653331461,3.888888888888889,4.0,2.5,3.3333333333333335,66.66666666666666,83.33333333333334,100.0,1.5091579679995186,78.67,A+
INDSWFTLAB.NS,11,7,4,0,11,63.63636363636363,7.584051378435124,7.584051378435124,11.272727272727273,16.285714285714285,3.0,1.75,57.14285714285714,57.14285714285714,57.14285714285714,0.6727787513127932,78.52,A+
BSE.NS,16,10,5,1,15,66.66666666666666,5.954366427089175,5.954366427089175,10.6875,8.4,5.5,4.6,50.0,80.0,80.0,0.5571337007802737,77.47,A+
HUBTOWN.NS,13,8,5,0,13,61.53846153846154,9.616694011863832,9.616694011863832,8.153846153846153,10.875,7.5,3.6,37.5,75.0,75.0,1.1794058693795266,77.12,A+
BALRAMCHIN.NS,7,5,2,0,7,71.42857142857143,5.145559122199513,5.145559122199513,11.428571428571429,13.4,3.0,5.5,60.0,60.0,60.0,0.4502364231924574,77.11,A+
TIPSMUSIC.NS,9,6,3,0,9,66.66666666666666,6.703425412125324,6.703425412125324,5.555555555555555,6.5,5.5,3.0,50.0,83.33333333333334,100.0,1.2066165741825585,76.97,A+
IRIS.NS,7,4,2,1,6,66.66666666666666,3.6655586993436287,3.6655586993436287,14.571428571428571,5.0,5.0,11.0,50.0,100.0,100.0,0.2515579499549549,76.89,A+
GMRP&UI.NS,7,5,2,0,7,71.42857142857143,3.4346134323693827,3.4346134323693827,10.428571428571429,6.4,5.0,20.0,60.0,80.0,100.0,0.3293464935148723,76.44,A+
BCONCEPTS.NS,13,8,5,0,13,61.53846153846154,4.803442714483389,4.803442714483389,6.0,6.875,4.5,3.8,62.5,87.5,87.5,0.8005737857472316,76.37,A+
NINSYS.NS,7,4,3,0,7,57.14285714285714,7.2703624938842575,7.2703624938842575,7.142857142857143,11.75,5.0,0.0,50.0,75.0,75.0,1.017850749143796,76.22,A+
INDOTECH.NS,15,9,6,0,15,60.0,3.5685913631931694,3.5685913631931694,3.2,2.5555555555555554,2.0,3.8333333333333335,88.88888888888889,100.0,100.0,1.1151848009978653,76.08,A+
TARAPUR.NS,9,6,3,0,9,66.66666666666666,3.041100522263956,3.041100522263956,5.222222222222222,3.6666666666666665,4.0,8.333333333333334,83.33333333333334,100.0,100.0,0.582338397880332,75.92,A+
LGHL.NS,13,9,4,0,13,69.23076923076923,5.018930261268612,5.018930261268612,6.3076923076923075,6.777777777777778,6.0,4.5,44.44444444444444,77.77777777777779,100.0,0.7956840658108776,75.81,A+
