Symbol,Price,Price Time,Status,High Date,High,Low Date,Low,Entry Date,Entry,SL,Target,Distance %,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade,Live Grade,Speed Group
SUPREMEINF.NS,86.36000061035156,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-08-20,120.0,2026-04-02,58.11000061035156,,106.75554013061524,89.05500030517578,136.0913998413086,19.1049003127236,10,8,2,0,10,80.0,13.585363868216414,13.585363868216414,8.1,9.125,7.0,4.0,37.5,62.5,100.0,1.677205415829187,83.25,A+,A+,FAST
MAANALU.NS,120.44000244140624,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-12-18,184.7400054931641,2026-07-28,110.4000015258789,,168.83124464416505,147.57000350952148,204.0684065246582,28.66249212623526,15,10,5,0,15,66.66666666666666,6.65605153906863,6.65605153906863,6.266666666666667,8.7,2.5,0.4,70.0,80.0,80.0,1.0621358838939303,81.57,A+,A+,FAST
BSE.NS,3316.800048828125,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2026-05-27,4446.7998046875,2026-08-18,3235.0,,4187.474646484375,3840.89990234375,4761.86775390625,20.792355086549144,16,10,5,1,15,66.66666666666666,5.954366427089175,5.954366427089175,10.6875,8.4,5.5,4.6,50.0,80.0,80.0,0.5571337007802737,77.47,A+,A+,FAST
BCONCEPTS.NS,159.5500030517578,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-09-24,449.0,2026-08-20,152.83999633789062,,385.6217592163086,300.9199981689453,526.0016009521485,58.62525927582299,13,8,5,0,13,61.53846153846154,4.803442714483389,4.803442714483389,6.0,6.875,4.5,3.8,62.5,87.5,87.5,0.8005737857472316,76.37,A+,A+,FAST
LGHL.NS,178.00999450683594,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-10-10,395.0,2026-08-19,168.0,,346.422,281.5,454.02,48.61469695722676,13,9,4,0,13,69.23076923076923,5.018930261268612,5.018930261268612,6.307692307692308,6.777777777777778,6.0,4.5,44.44444444444444,77.77777777777779,100.0,0.7956840658108776,75.81,A+,A+,FAST
ASTRAMICRO.NS,1666.4000244140625,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2026-07-31,1960.0,2026-08-20,1677.5999755859375,,1899.5663947753903,1818.7999877929688,2033.4240063476564,12.274715482577172,11,7,3,1,10,70.0,6.049985937056814,6.049985937056814,16.90909090909091,14.142857142857142,6.0,8.333333333333334,42.85714285714285,57.14285714285714,71.42857142857143,0.3577948672452954,75.67,A+,A+,FAST
HUBTOWN.NS,193.80999755859372,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-08-25,365.7000122070313,2026-03-30,168.14999389648438,,323.42430828857425,266.9250030517578,417.0630169677735,40.0756243140304,13,8,5,0,13,61.53846153846154,9.616694011863832,9.616694011863832,8.153846153846153,10.875,7.5,3.6,37.5,75.0,75.0,1.1794058693795266,77.12,A+,A+,MEDIUM
ATGL.NS,643.7999877929688,2026-08-24T12:50:00+05:30,OPEN,2025-09-23,798.0,2026-03-09,462.7999877929688,2026-05-26,726.2671973876953,630.3999938964844,885.1520031738281,-11.354940701074236,8,4,4,0,8,50.0,2.502580523158426,2.502580523158426,6.5,3.25,3.5,8.75,50.0,100.0,100.0,0.3850123881782193,68.41,A,A,FAST
TI.NS,584.0,2026-08-24T12:50:00+05:30,OPEN,2025-10-31,549.7000122070312,2026-01-23,381.5499877929688,2026-08-11,513.7159069824219,465.625,593.4190185546875,13.681509967333575,18,8,9,1,17,47.05882352941176,2.5551566672340686,2.5551566672340686,10.0,7.0,4.0,6.222222222222222,62.5,75.0,87.5,0.2555156667234068,66.82,A,A,FAST
PRAJIND.NS,355.1000061035156,2026-08-24T12:50:00+05:30,OPEN,2026-07-06,367.8500061035156,2026-07-28,300.79998779296875,2026-08-20,353.5013021850586,334.3249969482422,385.2830108642578,0.452248381710376,12,6,5,1,11,54.54545454545454,4.175001552286265,4.175001552286265,13.416666666666666,11.666666666666666,9.0,5.6,33.33333333333333,66.66666666666666,83.33333333333334,0.3111802399219576,67.51,A,A,MEDIUM
