SYMBOL,NIFTY50,FNO,SMALLCAP250,MICROCAP250
20MICRONS,NO,NO,NO,NO
21STCENMGM,NO,NO,NO,NO
360ONE,NO,YES,NO,NO
3BBLACKBIO,NO,NO,NO,NO
3MINDIA,NO,NO,NO,NO
3PLAND,NO,NO,NO,NO
5PAISA,NO,NO,NO,NO
63MOONS,NO,NO,NO,NO
A2ZINFRA,NO,NO,NO,NO
AAATECH,NO,NO,NO,NO
AADHARHFC,NO,NO,YES,NO
AAKASH,NO,NO,NO,NO
AAREYDRUGS,NO,NO,NO,NO
AARNAV,NO,NO,NO,NO
AARON,NO,NO,NO,NO
AARTIDRUGS,NO,NO,NO,YES
AARTIIND,NO,NO,YES,NO
AARTIPHARM,NO,NO,NO,YES
AARVI,NO,NO,NO,NO
AASTHA,NO,NO,NO,NO
AAVAS,NO,NO,YES,NO
ABANSENT,NO,NO,NO,NO
ABB,NO,YES,NO,NO
ABBOTINDIA,NO,NO,NO,NO
ABCAPITAL,NO,YES,NO,NO
ABCOTS,NO,NO,NO,NO
ABDL,NO,NO,YES,NO
ABFRL,NO,NO,YES,NO
ABINFRA,NO,NO,NO,NO
ABLBL,NO,NO,YES,NO
ABMKNO,NO,NO,NO,NO
ABREL,NO,NO,YES,NO
ABSLAMC,NO,NO,YES,NO
ACC,NO,NO,NO,NO
ACCELYA,NO,NO,NO,NO
ACE,NO,NO,YES,NO
ACEINTEG,NO,NO,NO,NO
ACGL,NO,NO,NO,NO
ACI,NO,NO,NO,YES
ACL,NO,NO,NO,NO
ACMESOLAR,NO,NO,YES,NO
ACSTECH,NO,NO,NO,NO
ACUTAAS,NO,NO,YES,NO
ADANIENSOL,NO,YES,NO,NO
ADANIENT,YES,YES,NO,NO
ADANIGREEN,NO,YES,NO,NO
ADANIPORTS,YES,YES,NO,NO
ADANIPOWER,NO,YES,NO,NO
ADDIND,NO,NO,NO,NO
ADFFOODS,NO,NO,NO,NO
ADL,NO,NO,NO,NO
ADOR,NO,NO,NO,NO
ADROITINFO,NO,NO,NO,NO
ADSL,NO,NO,NO,NO
ADVAIT,NO,NO,NO,NO
ADVANCE,NO,NO,NO,NO
ADVANIHOTR,NO,NO,NO,NO
ADVENTHTL,NO,NO,NO,NO
ADVENZYMES,NO,NO,NO,YES
ADVIKCA,NO,NO,NO,NO
AEGISLOG,NO,NO,YES,NO
AEGISVOPAK,NO,NO,YES,NO
AEPL,NO,NO,NO,NO
AEQUS,NO,NO,NO,YES
AEROENTER,NO,NO,NO,NO
AEROFLEX,NO,NO,NO,NO
AERONEU,NO,NO,NO,NO
AEROPLANE,NO,NO,NO,NO
AETHER,NO,NO,NO,YES
AFCONS,NO,NO,YES,NO
AFFLE,NO,NO,YES,NO
AFIL,NO,NO,NO,NO
AFSL,NO,NO,NO,NO
AGARIND,NO,NO,NO,NO
AGARWALEYE,NO,NO,NO,YES
AGI,NO,NO,NO,NO
AGIIL,NO,NO,NO,NO
AGL,NO,NO,NO,NO
AGRITECH,NO,NO,NO,NO
AGROPHOS,NO,NO,NO,NO
AHCL,NO,NO,NO,NO
AHLADA,NO,NO,NO,NO
AHLEAST,NO,NO,NO,NO
AHLUCONT,NO,NO,NO,YES
AIAENG,NO,NO,NO,NO
AIIL,NO,NO,NO,NO
AIRAN,NO,NO,NO,NO
AIROLAM,NO,NO,NO,NO
AJANTPHARM,NO,NO,NO,NO
AJAXENGG,NO,NO,NO,NO
AJMERA,NO,NO,NO,NO
AJOONI,NO,NO,NO,NO
AKASH,NO,NO,NO,NO
AKCAPIT,NO,NO,NO,NO
AKG,NO,NO,NO,NO
AKI,NO,NO,NO,NO
AKSHAR,NO,NO,NO,NO
AKUMS,NO,NO,NO,YES
ALANKIT,NO,NO,NO,NO
ALBERTDAVD,NO,NO,NO,NO
ALEMBICLTD,NO,NO,NO,NO
ALFREDHE,NO,NO,NO,NO
ALGOQUANT,NO,NO,NO,NO
ALICON,NO,NO,NO,NO
ALIVUS,NO,NO,NO,YES
ALKEM,NO,YES,NO,NO
ALKYLAMINE,NO,NO,NO,YES
ALLCARGO,NO,NO,NO,NO
ALLDIGI,NO,NO,NO,NO
ALLTIME,NO,NO,NO,NO
ALMONDZ,NO,NO,NO,NO
ALOKINDS,NO,NO,NO,YES
ALPA,NO,NO,NO,NO
ALPHAGEO,NO,NO,NO,NO
ALPINETEX,NO,NO,NO,NO
ALUFLUOR,NO,NO,NO,NO
AMAGI,NO,NO,NO,NO
AMAL,NO,NO,NO,NO
AMARJOTHI,NO,NO,NO,NO
AMBALALSA,NO,NO,NO,NO
AMBER,NO,YES,YES,NO
AMBICAAGAR,NO,NO,NO,NO
AMBIKCO,NO,NO,NO,NO
AMBUJACEM,NO,YES,NO,NO
AMDIND,NO,NO,NO,NO
AMJLAND,NO,NO,NO,NO
AMNPLST,NO,NO,NO,NO
AMRUTANJAN,NO,NO,NO,NO
ANANDRATHI,NO,NO,YES,NO
ANANTRAJ,NO,NO,YES,NO
ANDHRAPAP,NO,NO,NO,NO
ANDHRSUGAR,NO,NO,NO,NO
ANDREWYU,NO,NO,NO,NO
ANGELONE,NO,YES,YES,NO
ANIKINDS,NO,NO,NO,NO
ANMOL,NO,NO,NO,NO
ANNAPURNA,NO,NO,NO,NO
ANSALBU,NO,NO,NO,NO
ANTELOPUS,NO,NO,NO,NO
ANTGRAPHIC,NO,NO,NO,NO
ANTHEM,NO,NO,NO,NO
ANUHPHR,NO,NO,NO,NO
ANUP,NO,NO,NO,YES
ANURAS,NO,NO,YES,NO
APARINDS,NO,NO,NO,NO
APCL,NO,NO,NO,NO
APCOTEXIND,NO,NO,NO,NO
APEX,NO,NO,NO,NO
APLAPOLLO,NO,YES,NO,NO
APLLTD,NO,NO,NO,YES
APOLLO,NO,NO,NO,YES
APOLLOHOSP,YES,YES,NO,NO
APOLLOPIPE,NO,NO,NO,NO
APOLLOTYRE,NO,NO,NO,NO
APOLSINHOT,NO,NO,NO,NO
APOORVA,NO,NO,NO,NO
APTUS,NO,NO,YES,NO
AQYLON,NO,NO,NO,NO
ARCHIDPLY,NO,NO,NO,NO
ARCHIES,NO,NO,NO,NO
ARCL,NO,NO,NO,NO
ARDEE,NO,NO,NO,NO
ARE&M,NO,NO,YES,NO
ARENTERP,NO,NO,NO,NO
ARFIN,NO,NO,NO,NO
ARIES,NO,NO,NO,NO
ARIHANT,NO,NO,NO,NO
ARIHANTCAP,NO,NO,NO,NO
ARIHANTSUP,NO,NO,NO,NO
ARIS,NO,NO,NO,NO
ARKADE,NO,NO,NO,NO
ARMANFIN,NO,NO,NO,NO
AROGRANITE,NO,NO,NO,NO
ARSSBL,NO,NO,NO,NO
ARTEMISMED,NO,NO,NO,NO
ARTNIRMAN,NO,NO,NO,NO
ARVEE,NO,NO,NO,NO
ARVIND,NO,NO,NO,YES
ARVINDFASN,NO,NO,NO,YES
ARVSMART,NO,NO,NO,NO
ARYAMAN,NO,NO,NO,NO
