metric,value
stocks,2065
total_trades,15394
resolved_trades,14516
wins,4418
losses,10098
timeouts,878
base_resolved_win_rate_pct,30.4354
wr_ge_40_resolved,4115
wr_ge_40_weighted_pct,52.4180
wr_ge_45_resolved,2781
wr_ge_45_weighted_pct,57.4613
wr_ge_50_resolved,2423
wr_ge_50_weighted_pct,59.1416
wr_ge_55_resolved,1154
wr_ge_55_weighted_pct,68.1976
wr_ge_60_resolved,866
wr_ge_60_weighted_pct,72.0554
wr_ge_65_resolved,585
wr_ge_65_weighted_pct,77.2650
wr_ge_70_resolved,344
wr_ge_70_weighted_pct,84.5930
